Taestivum_TRIAE_CS42_2BS_TGACv1_147136_AA0478520.1	6dcf806ec563b3a98297ce83f7a3a491	1298	SUPERFAMILY	SSF56112		7	250	1.37E-50	T	31-05-2017	IPR011009	Protein kinase-like domain
Taestivum_TRIAE_CS42_2BS_TGACv1_147136_AA0478520.1	6dcf806ec563b3a98297ce83f7a3a491	1298	ProSiteProfiles	PS50011	Protein kinase domain profile.	1	257	29.206	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_2BS_TGACv1_147136_AA0478520.1	6dcf806ec563b3a98297ce83f7a3a491	1298	Pfam	PF00069	Protein kinase domain	6	245	3.5E-36	T	31-05-2017	IPR000719	Protein kinase domain
Taestivum_TRIAE_CS42_2BS_TGACv1_147136_AA0478520.1	6dcf806ec563b3a98297ce83f7a3a491	1298	SUPERFAMILY	SSF52540		460	714	3.02E-40	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Taestivum_TRIAE_CS42_2BS_TGACv1_147136_AA0478520.1	6dcf806ec563b3a98297ce83f7a3a491	1298	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	103	115	-	T	31-05-2017	IPR008271	Serine/threonine-protein kinase, active site
Taestivum_TRIAE_CS42_2BS_TGACv1_147136_AA0478520.1	6dcf806ec563b3a98297ce83f7a3a491	1298	SUPERFAMILY	SSF52058		798	1156	3.2E-14	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Taestivum_TRIAE_CS42_2BS_TGACv1_147136_AA0478520.1	6dcf806ec563b3a98297ce83f7a3a491	1298	Pfam	PF00931	NB-ARC domain	473	740	3.5E-41	T	31-05-2017	IPR002182	NB-ARC
Bdistachyon_Bradi4g09788.1.p	0c69e7fb78c1a3e89dd298b05a9ab5fc	1213	Pfam	PF00931	NB-ARC domain	5	275	1.6E-45	T	31-05-2017	IPR002182	NB-ARC
Bdistachyon_Bradi4g09788.1.p	0c69e7fb78c1a3e89dd298b05a9ab5fc	1213	SUPERFAMILY	SSF52540		2	247	2.24E-48	T	31-05-2017	IPR027417	P-loop containing nucleoside triphosphate hydrolase
Bdistachyon_Bradi4g09788.1.p	0c69e7fb78c1a3e89dd298b05a9ab5fc	1213	SUPERFAMILY	SSF52058		312	701	6.46E-22	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Bdistachyon_Bradi4g09788.1.p	0c69e7fb78c1a3e89dd298b05a9ab5fc	1213	SUPERFAMILY	SSF52058		945	1050	3.85E-11	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
Bdistachyon_Bradi4g09788.1.p	0c69e7fb78c1a3e89dd298b05a9ab5fc	1213	SUPERFAMILY	SSF52058		841	872	3.85E-11	T	31-05-2017	IPR032675	Leucine-rich repeat domain, L domain-like
